,X,Name,LONG,LAT,ET,PET,NPP,WB,MAT,TS,MCM,MWM,DJF.Tavg,MAM.Tavg,JJA.Tavg,SON.Tavg,Log10.TAP,PS,Log10.PWM,Log10.PDM,Log10.DJF.Prec,Log10.MAM.Prec,Log10.JJA.Prec,Log10.SON.Prec,Log10.TRI,density
11,11,Mrabri,100.47,18.41,16.89127541,1424.284668,1517.92334,1761.715332,24.95345879,257.9128418,20.30574989,32.41775131,21.36899948,27.0874176,26.62783241,24.72958374,3.503382063,84.77588654,2.309630167,0.698970004,1.301029996,2.456366033,2.662757832,2.477121255,1.484299839,23.16
12,12,Paliyans,77.5,9.75,18.19452477,1549.834351,1376.779297,1225.165649,25.95664597,165.3722992,23.3409996,33.53775024,24.1222496,28.02275085,26.34883308,25.33275032,3.443419462,68.62970734,2.301029996,1.361727836,2.139879086,2.260071388,2.235528447,2.640481437,1.694605199,9.63
13,13,Birhor,84.38,23.41,15.93192387,1259.894165,1776.704712,2793.105957,22.87599945,493.0782471,15.19149971,34.68125153,16.33600044,27.16975021,25.97183418,22.02641678,3.607883744,120.6737442,2.561101384,0.84509804,1.785329835,1.880813592,2.961421094,2.481442629,1.903089987,22
14,14,Cholanaickan,76.4,10.18,19.41849899,1745.85144,2609.392822,7827.148438,27.00983238,119.1059952,25.36599922,32.39925003,26.95758438,28.74808311,25.80349922,26.53016663,3.981093423,97.87506104,2.892094603,0.84509804,1.806179974,2.6599162,3.283979284,2.875639937,0.882239848,70.5
15,15,Yukaghir,153.5,64.75,11.0678091,451.915863,183.2498932,346.084137,-11.91166687,2009.75293,-36.71500015,19.46899986,-35.62808228,-11.84399986,12.59500027,-12.7695837,2.902546779,54.57217407,1.662757832,0.954242509,1.707570176,1.491361694,2.068185862,1.851258349,1.701136066,0.61
16,16,Nganasan,90,73.83,10.22421932,347.8882141,149.6970673,543.1118164,-13.71064568,1415.439941,-29.28474998,11.47375011,-28.4347496,-19.07258415,4.82741642,-12.16266632,2.950364854,24.00403214,1.556302501,1.204119983,1.838849091,1.77815125,1.986771734,1.875061263,1.371067862,0.46
17,17,Shiriana,-66.17,3.86,18.81548691,1612.24707,2586.292969,7756.75293,26.45229149,56.45826721,25.53125,32.35525131,26.81591606,26.70741653,25.67383385,26.61199951,3.971739591,55.12121201,2.664641976,1.832508913,2.432969291,2.924795996,3.106190897,2.868056362,2.101661169,15.6
18,18,Nukak (Macu),-71.81,2.56,19.30566406,1721.315552,2481.253418,6207.68457,26.93962479,95.29180908,25.57324982,31.94449997,27.76200104,27.46058273,25.78816605,26.74774933,3.899273187,55.96350098,2.568201724,1.301029996,2.204119983,2.883093359,3.017033339,2.834420704,0.948168362,9.34
19,19,Siriono,-63.5,-14.5,18.00454521,1510.238647,1816.651367,2692.76123,25.79477119,120.7159653,23.66650009,32.45125198,26.48624992,25.75533295,24.19474983,26.74275017,3.623662707,67.95475006,2.367355921,1.342422681,2.812244697,2.540329475,1.897627091,2.51851394,0.653212514,6
20,20,Yuqui,-64.97,-16.46,17.56182671,1482.369629,2544.391602,9107.630859,25.50431252,186.6235962,22.2784996,32.72399902,27.06925011,25.5454998,22.87241745,26.5300827,4.024936968,53.84658813,2.733999287,2.056904851,3.180125875,2.957607287,2.57634135,2.866877814,0.989004616,1.66
21,21,Nambikwara,-58.75,-13,16.74939156,1254.05603,2226.331543,4868.943848,24.11664581,98.47729492,22.28574944,33.30374908,24.51841736,24.06791687,22.85849953,25.0217495,3.787035182,75.03535461,2.546542663,0.954242509,2.984977126,2.749736316,1.763427994,2.661812686,1.227243782,7.78
22,22,Guayaki_(Ache),-55.38,-25.7,15.83121967,1056.003052,1978.838867,3812.99707,21.41677094,360.4925537,16.25200081,31.44849968,25.54366684,21.5482502,16.89850044,21.67666626,3.687528961,25.72511673,2.31386722,1.973127854,2.57634135,2.660865478,2.460897843,2.701567985,1.122215878,3.48
23,23,Botocudo,-42.5,-19,16.46305084,1072.503662,1709.109497,2737.496338,22.16789627,202.4641113,18.95700073,30.95199966,24.24541664,22.59575081,19.38299942,22.44741631,3.581038949,80.5524292,2.40654018,1.204119983,2.77524626,2.411619706,1.69019608,2.56937391,1.696793085,9.8
24,24,Heta,-53.68,-23.52,15.85340405,1019.206238,1822.138794,3204.793701,21.21145821,294.6209412,16.90399933,30.77300072,24.46100044,21.16141701,17.5063343,21.71708298,3.625826713,28.44212914,2.245512668,1.785329835,2.64246452,2.480006943,2.436162647,2.599883072,1.290034611,9.6
25,25,Aweikomo-(St.Catarina),-50,-28,14.0241127,703.8428955,1790.738159,3982.157227,14.34972954,302.9862061,10.20199966,23.16324997,17.99291611,14.68700027,10.67058277,14.04841614,3.670894954,16.9294281,2.214843848,2.012837225,2.649334859,2.523746467,2.563481085,2.62324929,1.408663874,4.1
26,26,Ona-(Selknam),-68.62,-53.9,11.2286644,541.1630249,647.2419434,556.8369751,5.749604225,353.8883667,0.702750027,13.9402504,9.96325016,5.835333347,1.211666703,5.988166809,3.040997692,16.09262085,1.591064607,1.361727836,1.991226076,2.045322979,1.934498451,1.875061263,1.391376239,7.27
27,27,Aka,17,2,18.60934258,1363.779175,2016.112549,3673.220703,24.9969368,59.67718887,24.30525017,30.57875061,25.03050041,25.81775093,24.51416588,24.62533379,3.702258163,37.07422638,2.315970345,1.698970004,2.285557309,2.668385917,2.654176542,2.758154622,1.239924813,9.06
28,28,Bayaka,17.76,3.58,17.87384605,1187.288696,2020.024536,3867.711426,23.61010361,57.36894989,22.79025078,29.23925018,23.31200027,24.38183403,23.33133316,23.41525078,3.703807065,50.92991638,2.36361198,1.447158031,2.086359831,2.639486489,2.775974331,2.727541257,1.284430734,17.47
